time,P,Z,L,B
6.265000000000001,3.935862497024169,29.35797743946395,34.12784124620293,40.16044892165903
6.2700000000000005,3.933407961956385,29.334021397243976,34.129681624739916,40.16598996759448
6.275,3.930964147826982,29.31009956766711,34.131518604864645,40.171506783431724
6.28,3.9285310223311014,29.28621192699763,34.13335219572437,40.176999417266394
6.285,3.9261085532912396,29.26235845139984,34.13518240644279,40.1824679171783
6.29,3.923696708657245,29.238539116938036,34.137009246120066,40.187912331231445
6.295,3.921295456506321,29.21475389957653,34.1388327238328,40.19333270747401
6.3,3.918904765043023,29.191002775179644,34.140652848634055,40.198729093938375
6.305,3.9165246025992606,29.167285719511703,34.14246962955335,40.20410153864109
6.3100000000000005,3.914154937634297,29.143602708237037,34.144283075596626,40.20945008958291
6.315,3.9117957387347486,29.119953716920005,34.1460931957463,40.214774794748756
6.32,3.909446974614586,29.09633872102495,34.14789999896125,40.22007570210775
6.325,3.9071086141151317,29.072757695916238,34.149703494176784,40.225352859613196
