time,V,R,C,M
5.335,25.824822940843703,50.55813558369423,46.73408452821581,31.15002869811895
5.34,25.791407605235623,50.531121052340076,46.73758311767308,31.165865778966186
5.345,25.758057019698278,50.50410823360816,46.74104079519289,31.181681647881057
5.3500000000000005,25.724771096040392,50.477097217567355,46.74445768142512,31.19747628743388
5.355,25.691549745841353,50.4500880940213,46.74783389693052,31.213249680340564
5.36,25.658392880451178,50.42308095250832,46.75116956218071,31.22900180946261
5.365,25.625300410990537,50.3960758823015,46.75446479755814,31.244732657807116
5.37,25.592272248350753,50.36907297240864,46.75771972335613,31.260442208526765
5.375,25.55930830319378,50.34207231157225,46.76093445977885,31.27613044491983
5.38,25.526408485952246,50.3150739882696,46.76410912694133,31.291797350430176
5.385,25.4935727068294,50.28807809071267,46.76724384486944,31.307442908647264
5.39,25.460800875799155,50.26108470684817,46.770338733499926,31.32306710330614
5.3950000000000005,25.428092902606053,50.23409392435752,46.77339391268037,31.33866991828745
5.4,25.39544869676532,50.207105830656914,46.77640950216923,31.35425133761742
5.405,25.362868167562787,50.18012051289722,46.7793856216358,31.369811345467873
5.41,25.330351224054958,50.153138057964064,46.78232239066023,31.385349926156223
5.415,25.297897775068975,50.12615855247779,46.78521992873354,31.400867064145473
5.42,25.26550772920263,50.099182082793476,46.78807835525759,31.416362744044218
5.425,25.233180994824362,50.07220873500091,46.790897789545106,31.431836950606648
5.43,25.200917480073254,50.04523859492465,46.79367835081966,31.44728966873254
5.4350000000000005,25.16871709285904,50.018271748123915,46.79642015821569,31.46272088346727
5.44,25.136579740862107,49.99130827989271,46.799123330778464,31.478130580001785
5.445,25.10450533153348,49.96434827525975,46.801787987464145,31.493518743672645
5.45,25.072493772094834,49.937391818988466,46.80441424713972,31.50888535996199
5.455,25.04054496953849,49.910438995577024,46.80700222858303,31.524230414497556
5.46,25.00865883062742,49.883489889258314,46.80955205048279,31.539553893052666
5.465,24.976835261895243,49.85654458399996,46.81206383143857,31.554855781546237
5.47,24.94507416964622,49.82960316350431,46.81453768996077,31.570136066042778
5.4750000000000005,24.91337545995526,49.802665711208434,46.81697374447067,31.58539473275239
5.48,24.881739038667934,49.77573231028415,46.81937211330039,31.60063176803076
5.485,24.850164811400443,49.74880304363797,46.821732914692916,31.61584715837916
5.49,24.81865268353964,49.721877993911164,46.82405626680208,31.631040890444478
5.495,24.78720256024303,49.69495724347971,46.826342287692576,31.646212951019166
5.5,24.755814346438758,49.66804087445433,46.828591095339945,31.661363327041283
5.505,24.72448794682562,49.641128968680455,46.8308028076306,31.676492005594472
5.51,24.69322327165597,49.61422160876082,46.832977540445015,31.691598973411015
5.515,24.66202027729144,49.58731888499819,46.83511539387815,31.706684213573336
5.5200000000000005,24.63087887931507,49.56042087982647,46.83721648073459,31.721747713142875
5.525,24.599798980668027,49.53352767316313,46.83928091775782,31.736789460428408
5.53,24.56878048432925,49.506639344692026,46.84130882148749,31.75180944386279
5.535,24.537823293315476,49.479755973863405,46.843300308259465,31.766807652002953
5.54,24.50692731068125,49.4528776398939,46.84525549420578,31.7817840735299
5.545,24.476092439518908,49.42600442176652,46.847174495254684,31.796738697248706
5.55,24.445318582958578,49.39913639823068,46.8490574271306,31.811671512088527
5.555,24.414605644168194,49.37227364780218,46.85090440535416,31.82658250710259
5.5600000000000005,24.383953526353473,49.3454162487632,46.85271554524216,31.841471671468195
5.565,24.35336213275795,49.31856427916231,46.85449096190763,31.856338994486716
5.57,24.322831366662943,49.291717816814476,46.85623077025975,31.871184465583607
5.575,24.292361131387562,49.26487693930105,46.85793508500392,31.886008074308393
5.58,24.26195133028872,49.23804172396976,46.859604020641726,31.900809810334668
5.585,24.231601866761128,49.21121224793473,46.86123769147094,31.915589663460114
5.59,24.201312644237294,49.18438858807648,46.862836211585524,31.930347623606476
5.595,24.17108356618752,49.15757082104191,46.86439969487565,31.945083680819575
